file,question,answer
10597533885.csv,Có bao nhiêu kệ sách trong ảnh?,Có một kệ sách trong ảnh.
10597533885.csv,Đứa trẻ đang làm gì?,Đứa trẻ đang chơi với đồ chơi.
10597533885.csv,Những loại đồ chơi nào bạn thấy trong ảnh?,"Tôi thấy quả bóng, búp bê, khối xây dựng và các đồ chơi khác."
10597533885.csv,Rèm cửa có màu gì?,Rèm cửa có màu trắng.
10597533885.csv,"Ngoài sách và đồ chơi, có gì khác trong phòng?",Có rèm cửa trong phòng.
10597533885.csv,Đứa trẻ trong ảnh đang đội gì trên đầu?,Đứa trẻ đang đội một chiếc mũ màu đỏ trên đầu.
10597533885.csv,Có những loại đồ vật nào có thể được nhìn thấy trên giá sách bên trái?,Trên giá sách bên trái có thể thấy thú nhồi bông và đồ chơi.
10597533885.csv,Đồ chơi nào có màu hồng được nhìn thấy trong hộp đồ chơi?,Một con búp bê mặc đồ màu hồng được nhìn thấy trong hộp đồ chơi.
10597533885.csv,Loại vật dụng chính nào được đặt trên giá sách bên phải?,Giá sách bên phải chứa đầy sách.
10597533885.csv,Đứa trẻ đang ở giữa những đồ vật nào?,Đứa trẻ đang ở giữa hai giá sách.
10597533885.csv,Trong ảnh có những loại đồ vật nào?,"Trong ảnh có đồ chơi, búp bê, sách, giường hoặc khu vui chơi, rèm cửa."
10597533885.csv,Đứa trẻ đang làm gì?,Đứa trẻ đang chơi với đồ chơi trong góc phòng.
10597533885.csv,Có bao nhiêu đồ chơi nhồi bông có thể nhìn thấy trong khung giường?,Có thể nhìn thấy một vài đồ chơi nhồi bông trong khung giường.
10597533885.csv,Kệ sách nằm ở đâu so với đứa trẻ?,Kệ sách nằm ở bên phải của đứa trẻ.
10597533885.csv,Vị trí của đứa trẻ so với rèm cửa?,Đứa trẻ đang đứng trước rèm cửa.
10597533885.csv,Đứa trẻ trong ảnh đang đội mũ màu gì?,Đứa trẻ đang đội mũ màu đỏ.
10597533885.csv,Có những loại đồ chơi nào được nhìn thấy trong ảnh?,"Có máy tính tiền đồ chơi, thú nhồi bông và các đồ chơi nhiều màu sắc."
10597533885.csv,Giá sách chứa gì?,Giá sách chứa sách.
10597533885.csv,Đứa trẻ đang chơi ở đâu trong phòng?,Đứa trẻ đang chơi ở góc phòng.
10597533885.csv,"Ngoài đồ chơi, có đồ vật nào khác trong phòng không?",Có một cái giường hoặc một cái kệ.
10597533885.csv,"Trong ảnh, đứa trẻ đang đội gì trên đầu?",Đứa trẻ đang đội một chiếc mũ màu đỏ.
10597533885.csv,Có bao nhiêu giá sách được nhìn thấy trong ảnh?,Có một giá sách được nhìn thấy trong ảnh.
10597533885.csv,Đồ chơi nào chứa đầy thú nhồi bông và các khối hình?,Một chiếc hộp chứa đầy thú nhồi bông và các khối hình.
10597533885.csv,"Ngoài thú nhồi bông, đứa trẻ còn chơi với đồ chơi nào khác?",Đứa trẻ còn chơi với bộ nhà bếp đồ chơi và một tòa nhà đồ chơi.
10597533885.csv,Thang của đồ vật gì có thể được nhìn thấy ở bên trái ảnh?,Thang của giường tầng có thể được nhìn thấy ở bên trái ảnh.
10597533885.csv,Đứa trẻ đang chơi với đồ chơi gì?,Đứa trẻ đang chơi với một bộ đồ chơi.
10597533885.csv,Trong thùng màu trắng có những loại đồ chơi nào?,Trong thùng màu trắng có gấu bông và các khối xây dựng đầy màu sắc.
10597533885.csv,Có bao nhiêu giá sách trong ảnh?,Có một giá sách trong ảnh.
10597533885.csv,Cấu trúc bằng gỗ bên trái có thể là gì?,Cấu trúc bằng gỗ có thể là cấu trúc vui chơi hoặc đồ nội thất.
10597533885.csv,Đứa trẻ khoảng bao nhiêu tuổi?,Đứa trẻ khoảng 2-3 tuổi.
10597533885.csv,Đứa trẻ trong ảnh đang đội gì trên đầu?,Đứa trẻ đang đội một chiếc mũ màu đỏ.
10597533885.csv,Trong ảnh có những loại đồ chơi nào?,"Trong ảnh có xe buýt/xe hơi đồ chơi, nhà để xe đồ chơi, thú nhồi bông và các khối xây dựng."
10597533885.csv,Thùng đồ chơi màu trắng chứa gì?,Thùng đồ chơi màu trắng chứa thú nhồi bông và các khối xây dựng đầy màu sắc.
10597533885.csv,Giá sách ở bên phải chứa gì?,Giá sách chứa đầy sách và các vật dụng khác.
10597533885.csv,Đứa trẻ đang ngồi ở đâu?,Đứa trẻ đang ngồi trên sàn nhà.
10597533885.csv,Đứa trẻ trong ảnh đang mặc áo màu gì?,Đứa trẻ đang mặc áo màu xám.
10597533885.csv,Trong thùng đồ chơi có con vật nhồi bông nào?,Trong thùng đồ chơi có một con gấu bông.
10597533885.csv,Giá sách trong ảnh có chứa gì?,Giá sách chứa sách.
10597533885.csv,Đồ chơi nhà để xe có những màu gì?,"Đồ chơi nhà để xe có nhiều màu sắc, bao gồm màu vàng, đỏ và xanh lá cây."
10597533885.csv,Đứa trẻ đang chơi ở đâu?,"Đứa trẻ đang chơi trong một góc phòng, có thể là phòng chơi hoặc phòng ngủ."
10597533885.csv,Đứa trẻ đang làm gì trong ảnh?,Đứa trẻ đang chơi với đồ chơi.
10597533885.csv,Có những loại đồ chơi nào có thể thấy trong ảnh?,"Có thú nhồi bông, khối xây dựng và một gara đồ chơi."
10597533885.csv,Đứa trẻ ngồi ở đâu trong phòng?,Đứa trẻ ngồi trong một góc giữa kệ sách và khung giường hoặc kệ khác.
10597533885.csv,Có bao nhiêu thú nhồi bông có thể nhìn thấy trong thùng?,"Có thể nhìn thấy một vài thú nhồi bông trong thùng, nhưng không thể đếm chính xác."
10597533885.csv,Những cuốn sách trên kệ có màu sắc như thế nào?,Có rất nhiều cuốn sách với bìa nhiều màu sắc khác nhau.
10597533885.csv,Đứa trẻ trong ảnh đang mặc áo màu gì?,Đứa trẻ đang mặc áo màu sáng.
10597533885.csv,Có con vật nhồi bông nào trong hộp đồ chơi không?,"Có, có một con gấu bông với một trái tim màu hồng trong hộp đồ chơi."
10597533885.csv,Có bao nhiêu giá sách chứa đầy sách trong ảnh?,Có một giá sách chứa đầy sách trong ảnh.
10597533885.csv,Loại đồ chơi nào có mặt số và núm vặn đầy màu sắc?,Đó là một bộ bàn ghế đồ chơi.
10597533885.csv,Trong ảnh có đồ vật nào cho thấy đây có thể là phòng của trẻ em không?,"Các loại đồ chơi, sách và giường tầng cho thấy đây có thể là phòng của trẻ em."
10597533885.csv,Đứa trẻ đang mặc áo màu gì?,Đứa trẻ đang mặc áo màu xám.
10597533885.csv,Có những loại đồ chơi nào được nhìn thấy trong ảnh?,"Có thú nhồi bông, các khối xây dựng và bộ đồ chơi tòa nhà."
10597533885.csv,Kệ sách nằm ở vị trí nào so với đứa trẻ?,Kệ sách nằm ở bên phải của đứa trẻ.
10597533885.csv,"Ngoài sách và đồ chơi, còn vật dụng nào khác được nhìn thấy trong phòng?","Ngoài sách và đồ chơi, còn có giường và rèm cửa."
10597533885.csv,Có bao nhiêu tòa nhà đồ chơi có thể thấy rõ trong ảnh?,Có ít nhất hai tòa nhà đồ chơi có thể thấy rõ.
10597533885.csv,Trong ảnh có những loại đồ chơi nào?,"Trong ảnh có thú nhồi bông, khối xây dựng và một bộ đồ chơi nhà."
10597533885.csv,Đứa trẻ đang làm gì trong ảnh?,Đứa trẻ dường như đang chơi với đồ chơi của mình.
10597533885.csv,Giường tầng được làm từ vật liệu gì?,Giường tầng có vẻ được làm từ gỗ.
10597533885.csv,"Ngoài đồ chơi và giường, còn có đồ vật gì khác trong phòng?","Ngoài đồ chơi và giường, còn có một giá sách đầy sách."
10597533885.csv,Có bao nhiêu giá sách được nhìn thấy trong ảnh?,Chỉ có một giá sách được nhìn thấy trong ảnh.
10597533885.csv,"Trong ảnh, đứa trẻ đang mặc áo màu gì?",Đứa trẻ đang mặc áo màu xám.
10597533885.csv,Có bao nhiêu giường trong ảnh?,Có một chiếc giường (giường tầng) trong ảnh.
10597533885.csv,Trên kệ sách có gì?,Trên kệ sách có rất nhiều sách.
10597533885.csv,"Ngoài thú nhồi bông, trong hộp đựng còn có đồ chơi gì khác?","Ngoài thú nhồi bông, trong hộp đựng còn có các khối xếp hình."
10597533885.csv,Con búp bê mặc váy màu gì?,Con búp bê mặc váy màu đỏ.
10597533885.csv,Có bao nhiêu thú nhồi bông có thể nhìn thấy trong thùng đồ chơi?,Ít nhất có hai thú nhồi bông có thể nhìn thấy trong thùng đồ chơi.
10597533885.csv,Đứa trẻ đang chơi ở đâu?,Đứa trẻ đang chơi trong một góc nhỏ hoặc khu vui chơi được bao quanh bởi đồ chơi.
10597533885.csv,Phía sau đứa trẻ có gì?,Phía sau đứa trẻ có một tấm rèm có hoa văn hoa và một giá sách chứa đầy sách.
10597533885.csv,"Ngoài thú nhồi bông và sách, còn có những loại đồ chơi nào khác có thể thấy?","Có thể thấy các khối xây dựng, một tòa nhà đồ chơi và một xưởng đồ chơi."
10597533885.csv,Ở phía bên trái của ảnh có đồ vật gì?,Ở phía bên trái của ảnh có một phần của khung giường.
10597533885.csv,Đứa trẻ đang đội gì trên đầu?,Đứa trẻ đang đội một chiếc mũ màu đỏ.
10597533885.csv,Có những loại đồ vật nào trong thùng chứa đồ chơi?,Trong thùng có thú nhồi bông và các khối đồ chơi.
10597533885.csv,Đồ chơi nhà bếp nằm ở đâu so với đứa trẻ?,"Đồ chơi nhà bếp nằm ngay phía trước đứa trẻ, nơi bé đang chơi."
10597533885.csv,Có bao nhiêu tầng trên chiếc giường gỗ bên trái?,Có hai tầng trên chiếc giường gỗ.
10597533885.csv,Giá sách nằm ở phía nào của đứa trẻ?,Giá sách nằm ở phía bên phải của đứa trẻ.
10597533885.csv,Trong ảnh có những loại đồ vật nào?,"Trong ảnh có giường tầng, thú nhồi bông, đồ chơi, hộp đựng đồ, sách và giá sách."
10597533885.csv,Đứa trẻ đang làm gì?,Đứa trẻ đang chơi với một bộ đồ chơi.
10597533885.csv,Có bao nhiêu thú nhồi bông được nhìn thấy rõ trên giường tầng?,Có thể nhìn thấy rõ khoảng 2-3 thú nhồi bông trên giường tầng.
10597533885.csv,Giá sách chứa gì?,Giá sách chứa đầy sách.
10597533885.csv,Hộp đựng đồ chơi có màu gì?,Hộp đựng đồ chơi có màu trắng.
10597533885.csv,Đứa trẻ đang chơi ở đâu?,Đứa trẻ đang chơi trong một hốc nhỏ bên dưới giường tầng.
10597533885.csv,Có những loại đồ chơi nào trong phòng?,"Có thú nhồi bông, khối xây dựng, đồ chơi bãi đậu xe và các loại đồ chơi khác."
10597533885.csv,Màu sắc chủ đạo của thùng đựng đồ là gì?,Thùng đựng đồ có màu trắng.
10597533885.csv,Phía sau đứa trẻ có gì?,Phía sau đứa trẻ có rèm cửa.
10597533885.csv,Có bao nhiêu giá sách có thể nhìn thấy trong ảnh?,Có một giá sách có thể nhìn thấy trong ảnh.
10597533885.csv,Đứa trẻ trong ảnh đang mặc áo màu gì?,Đứa trẻ đang mặc áo màu xám nhạt.
10597533885.csv,Có những loại đồ vật nào trên giường tầng?,Trên giường tầng có thú nhồi bông.
10597533885.csv,Trong thùng đựng đồ có những loại đồ chơi nào?,Trong thùng đựng đồ có các khối xây dựng và một con gấu bông mặc áo hồng.
10597533885.csv,Ở phía sau đứa trẻ có rèm cửa màu gì?,Ở phía sau đứa trẻ có rèm cửa hoa màu sáng.
10597533885.csv,Bên cạnh đứa trẻ có gì?,Bên cạnh đứa trẻ có một thùng đựng đồ chơi và một món đồ chơi nhựa hình gara.
10597533885.csv,Đứa trẻ đang chơi với đồ chơi gì?,Đứa trẻ đang chơi với một bộ đồ chơi bàn làm việc.
10597533885.csv,Có bao nhiêu kệ sách được nhìn thấy trong ảnh?,Có một kệ sách được nhìn thấy trong ảnh.
10597533885.csv,Có những loại đồ chơi nào khác trong phòng?,"Có thú nhồi bông, khối xây dựng và một ngôi nhà đồ chơi."
10597533885.csv,Giường tầng được làm bằng chất liệu gì?,Giường tầng được làm bằng gỗ.
10597533885.csv,Hoa văn trên rèm cửa là gì?,Hoa văn trên rèm cửa là hoa văn hoa.
10597533885.csv,Có bao nhiêu kệ sách trong ảnh?,Có hai kệ sách trong ảnh.
10597533885.csv,Đứa trẻ trong ảnh đang làm gì?,Đứa trẻ đang chơi với đồ chơi.
10597533885.csv,Loại đồ chơi nào được đựng trong thùng?,Thú nhồi bông và các khối xây dựng được đựng trong thùng.
10597533885.csv,Kệ gỗ có bao nhiêu tầng?,Kệ gỗ có ba tầng.
10597533885.csv,Rèm cửa có họa tiết gì?,Rèm cửa có họa tiết hoa và bướm.
10597533885.csv,Đứa trẻ đang làm gì trong phòng?,Đứa trẻ đang chơi đồ chơi.
10597533885.csv,Các kệ được lấp đầy bởi những gì?,Các kệ được lấp đầy bởi sách và đồ chơi.
10597533885.csv,Có những loại đồ chơi nào trong phòng?,"Có một bộ đồ chơi màu xanh lá cây và trắng, một thùng thú nhồi bông và các khối xây dựng, và một bộ đồ chơi hình ngôi nhà."
10597533885.csv,Đứa trẻ đang ngồi ở đâu?,Đứa trẻ đang ngồi trên sàn nhà gần góc tạo bởi hai kệ gỗ.
10597533885.csv,Màu sắc chủ đạo của bộ đồ chơi mà đứa trẻ đang chơi là gì?,Màu sắc chủ đạo là xanh lá cây và trắng.
10597533885.csv,Đứa trẻ trong ảnh đang làm gì?,Đứa trẻ đang chơi đồ chơi.
10597533885.csv,Đứa trẻ đang mặc áo màu gì?,Đứa trẻ đang mặc áo màu sáng.
10597533885.csv,Có những loại đồ chơi nào trong ảnh?,"Có thú nhồi bông, khối xây dựng, bộ đồ chơi nhà bếp và sách."
10597533885.csv,"Ngoài sách, có những gì trên kệ bên phải?",Có một bộ đồ chơi.
10597533885.csv,Đứa trẻ đội mũ màu gì?,Đứa trẻ đội mũ màu đỏ.
10597533885.csv,Có bao nhiêu con thú nhồi bông có thể nhìn thấy trên giường tầng?,Có ít nhất hai con thú nhồi bông có thể nhìn thấy trên giường tầng.
10597533885.csv,Có những loại đồ chơi nào trong ảnh?,"Trong ảnh có đồ chơi nhồi bông, sách, nhà để xe đồ chơi, tòa nhà đồ chơi và các khối xây dựng."
10597533885.csv,Kệ sách có bao nhiêu ngăn?,Kệ sách có ba ngăn.
10597533885.csv,Tấm rèm cửa có họa tiết gì?,Tấm rèm cửa có họa tiết hoa và côn trùng.
10597533885.csv,Đứa trẻ trong ảnh đang làm gì?,Đứa trẻ đang quỳ trên sàn và chơi với đồ chơi.
10597533885.csv,Có những loại đồ chơi nào trong ảnh?,"Có thú nhồi bông, trạm xăng đồ chơi, nhà đồ chơi, và các khối hình."
10597533885.csv,Thùng chứa màu trắng đựng gì?,Thùng chứa màu trắng đựng đầy đồ chơi.
10597533885.csv,Đứa trẻ đang chơi với loại đồ chơi gì?,Đứa trẻ dường như đang chơi với một bộ xếp hình hoặc một cấu trúc đồ chơi xây dựng.
