video,gt
2405940242,"[""người phụ nữ - mặc - nón""]"
2435100235,"[""người đàn ông đạp xe - cố gắng bán - đồng hồ đeo tay"", ""người đàn ông đạp xe - cho xem - đồng hồ đeo tay"", ""người đàn ông đạp xe - bán cho - người đàn ông đi xe xích lô"", ""đồng hồ đeo tay - được bán cho - người đàn ông đi xe xích lô""]"
2435633172,"[""người - xem - động_vật""]"
2503404966,"[""cậu bé - cảm thấy - vui vẻ""]"
2614918961,"[""em bé - ngồi xuống - để chơi""]"
2735019707,"[""người đàn ông mặc đồ đỏ -chơi_với- cậu bé""]"
2793260225,"[""người phụ nữ - giữ - người đàn ông"", ""người đàn ông - giữ - người phụ nữ"", ""người đàn ông - đội - mũ lưỡi trai""]"
2793806282,"[""người phụ nữ mặc đồ xanh - ngồi trên - sàn nhà""]"
2821968703,"[""người đàn ông - nghiêng về - phía sau"", ""người đàn ông - nghiêng về phía sau - để giữ thăng bằng tốt hơn""]"
2830899473,"[""người đàn ông - thể hiện tình cảm với - người đàn ông khác""]"
2834146886,"[""chó trắng - ngửi - chó đen""]"
2976913210,"[""người đàn ông - di chuyển - trong bùn đất""]"
2984974097,"[""cô gái - đạp - xe đạp"", ""cô gái - di chuyển về phía trước - bằng xe đạp""]"
3066064005,"[""người phụ nữ - phát - dụng cụ ăn""]"
3121571439,"[""người đàn ông mặc đồ đen - cảm thấy - vui vẻ""]"
3151715056,"[""người phụ nữ bên phải - cúi xuống và chạm vào - cô gái trên ghế""]"
3158022797,"[""mọi người - đồng_bộ - động tác""]"
3171006258,"[""người đàn ông - cởi_bỏ - giày trượt băng"", ""người đàn ông - cải_thiện - thăng bằng""]"
3206694342,"[""người - số_lượng - sáu"", ""người - vị_trí - sân_khấu""]"
3429509208,"[""em bé - giơ - tay"", ""em bé - lấy - máy ảnh""]"
3441428429,"[""nữ vận động viên trượt băng - tiếp tục trượt băng - sau khi nam vận động viên trượt băng đặt cô ấy xuống""]"
3462517143,"[""chó trắng - đi_quanh - vòi nước""]"
3477387686,"[""cô gái - cười_với - máy quay""]"
3524939594,"[""hai người đàn ông - cảm thấy - hồi hộp""]"
3550839192,"[""em bé - giữ - bàn xe nôi""]"
3557498300,"[""cậu_bé_mặc_đồ_xanh - di_chuyển_bằng_cách - chạy""]"
3562017845,"[""chim - đi bộ - đất""]"
3711681535,"[""người phụ nữ - buông - tay nắm cửa"", ""người phụ nữ - buông - tay cầm""]"
3821781616,"[""người đàn ông - ở - phòng khách""]"
3851961428,"[""người đàn ông ngoài cùng bên phải - tháo - kính bảo hộ""]"
3943634344,"[""cô gái - đứng dậy - sau khi đọc xong hình ảnh trên sách"", ""người phụ nữ - khen ngợi - cô gái""]"
3963997053,"[""buổi biểu diễn - diễn ra tại - đường""]"
4010069381,"[""hai người đàn ông - quay - tay cầm""]"
4094488636,"[""chó nâu - nhìn_xung_quanh - không xác định""]"
4138579400,"[""cậu_bé - chạm_vào - tóc""]"
4217422838,"[""người phụ nữ - đặt - hộp sang một bên""]"
4260763967,"[""cậu_bé - lắp_ráp - đồ_chơi""]"
4263096481,"[""người - cắt - đầu cá""]"
4273039295,"[""em bé - cúi xuống - gần cây"", ""em bé - nhặt - quả cầu tuyết"", ""người phụ nữ đội mũ len xanh lá - đuổi theo - đứa trẻ"", ""người phụ nữ đội mũ len xanh lá - bước về phía trước - không áp dụng""]"
4279106208,"[""người phụ nữ - đảm_bảo_an_toàn_cho - đứa trẻ""]"
4584426085,"[""người phụ nữ - mặc quần áo cho - chó con""]"
4815534482,"[""cậu bé - chơi đùa - không xác định""]"
4822859674,"[""em bé - trèo - sàn nhà""]"
4882821564,"[""cậu bé - lấy - quà"", ""cậu bé - di chuyển đến - ghế sofa""]"
4942054721,"[""người - nhìn_thấy - tám con dê""]"
4978714491,"[""đèn_giao_thông - chuyển_sang - màu_xanh""]"
4984331176,"[""người - muốn_vượt_qua - nhanh""]"
5026660202,"[""nghệ sĩ guitar - ngồi - ghế cao"", ""ghế cao - đặt_trên - sân khấu""]"
5116088152,"[""em bé - cầm chặt - trái cây""]"
5256928210,"[""người đàn ông - vuốt ve - lưng chó""]"
5296635780,"[""người đàn ông - nghiêng người về phía trước - sau khi người phụ nữ đấm và cười""]"
5328004991,"[""trẻ_em - lấy - dụng_cụ_khuấy""]"
5333075105,"[""người đàn ông - di chuyển_qua - tuyết dày"", ""người đàn ông - mỉm cười - vì hoàn thành việc leo núi""]"
5445581571,"[""chó trắng - đứng_dậy - sau_khi_nhìn_lên""]"
5561024834,"[""cậu_bé - đang_ở - phòng_ngủ""]"
5635265624,"[""người phụ nữ - vỗ_đầu - em bé""]"
5679866364,"[""ông_lão - nói_chuyện_với - bà_lão""]"
5735711594,"[""chó trắng - nhảy ra xa - chó nâu""]"
5833145209,"[""chim nâu - uốn cong - nước"", ""chim nâu - uống - nước"", ""nước - nằm_trong - chậu"", ""chậu - chứa - nước"", ""chim - uống - nước""]"
5840177726,"[""người đàn ông - lái - xe đạp""]"
5902452647,"[""em bé - cầm - quả bóng"", ""em bé - tiến_tới - cô bé""]"
5987365500,"[""cô gái - cố gắng hát - vật_thể""]"
6018490041,"[""người đàn ông mặc đồ trắng - đập - lon"", ""người đàn ông mặc đồ trắng - di chuyển về phía trước - không xác định""]"
6136926089,"[""em bé - di chuyển về phía - cầu trượt""]"
6160414832,"[""tấm_thảm_xanh - nằm_trên - bàn"", ""trò_chơi_bảng - chơi_trên - bàn""]"
6201488511,"[""người phụ nữ - che_mắt - để tránh nắng""]"
